id,dealer,Coach-Net Contracts, Cole - Purchases , East Penn - Total Purchases , IDS - Purchases ,Level 5 - Purchases,NTP Purchases,SAL Gross Creditor ,SAL Warranty,SAL SS/DK,TD Contracts, Wells Fargo Volume 
1,Bucars RV Centre,,34703.00,157227.00,7928.00,,589772.00,230760.00,264,142,109,13677745.00
2,Campkin's RV Centre,,0.00,48965.00,0.00,,331750.00,248340.00,222,1077,139,241559.00
3,Christie's RV,3,9410.00,26430.00,,,222260.00,206098.00,100,6,34,0.00
4,Earlton RV,,0.00,26804.00,,,202247.00,143120.00,76,25,79,3719825.00
5,Eldorado RV Sales,,2391.00,27750.00,0.00,,193531.00,129886.00,50,9,35,1973135.00
6,Ferguson RV World,22,0.00,17063.00,0.00,,112672.00,83354.00,48,37,43,1818263.00
7,GNR Camping World,,0.00,35701.00,,76100.00,210871.00,176911.00,201,379,43,2495862.00
9,Holiday RV Super Centre,12,6582.00,51461.00,,31458.00,180795.00,251525.00,165,39,66,320891.00
12,McPhail's of Harriston,,6670.00,23853.00,0.00,,276212.00,427.00,24,50,66,8474352.00
13,Mike Rosman R.V. Sales,,4429.00,39267.00,0.00,,268229.00,,0,0,49,3534486.00
14,Mobilife RV Centre,,0.00,17426.00,0.00,,143432.00,64302.00,108,3,62,2263495.00
15,Niagara Trailers,,28717.00,0.00,0.00,,1030128.00,,0,0,182,17255313.00
16,Nickel Belt Camping,,10832.00,26027.00,0.00,,274022.00,484981.00,180,114,98,122592.00
18,Pik-A-Dilly RV Centre,,1080.00,9378.00,0.00,,128995.00,45492.00,34,127,36,0.00
19,Recreation World RV,5,11451.00,28473.00,0.00,,179651.00,369579.00,139,207,83,2491330.00
20,Roulottes Desjardins (St-Jerome),,0.00,26887.00,,,182582.00,96127.00,89,0,42,0.00
21,Ruston RV Centre,,0.00,30791.00,0.00,,215181.00,118402.00,125,128,63,3040683.00
22,RV City,2,13975.00,50632.00,0.00,,255981.00,444294.00,185,388,111,0.00
23,Sellers RV Center,,2744.00,24112.00,0.00,,277387.00,51595.00,56,3,42,2503422.00
26,Trailblazer RV Centre,,13730.00,28429.00,0.00,,136170.00,165010.00,137,72,48,5282524.00
28,Vellner Leisure Products,,2980.00,55146.00,6356.00,,147051.00,464123.00,127,258,57,126438.00
29,Traveland RV Supercentre Kelowna,664,4672.00,0.00,,62545.00,229889.00,,0,0,59,0.00
36,Can-Am RV Centre,17,0.00,77344.00,0.00,,367714.00,,0,0,102,0.00
37,Camp-Out RV,1,0.00,21033.00,0.00,,283834.00,,88,36,41,1950459.00
38,Leisure Trailer Sales,,0.00,19944.00,2127.00,,260236.00,56116.00,140,0,65,3683817.00
41,Big Boy's Toys,,4855.00,29802.00,0.00,,179737.00,158099.00,139,82,71,4986454.00
42,Primo Trailer Sales,179,7462.00,21549.00,4967.00,,96709.00,65582.00,117,172,47,4061230.00
44,1000 Islands RV Centre,,0.00,53776.00,0.00,0.00,362292.00,109976.00,149,77,127,11342934.00
45,O'Connor RV,,0.00,3626.00,,,315450.00,,0,102,42,0.00
65,Stone's RV & Home Center,,0.00,28185.00,0.00,35282.00,65380.00,,0,34,12,3501886.00
66,Stone's RV Center,,0.00,1251.00,0.00,,17201.00,,0,8,0,0.00
67,Leisure Time Sales,,0.00,21488.00,877.00,,114307.00,182912.00,135,1,97,0.00
72,Happy Trails RV,,0.00,18662.00,,,859455.00,814990.00,0,625,74,0.00
74,Horizon Lussier,,0.00,33700.00,,,247951.00,232698.00,110,265,25,137160.00
76,Prevost RV & Marine,,6763.00,31137.00,0.00,,27937.00,,0,0,31,2353737.00
77,Moncton RV Center,,0.00,0.00,0.00,,292.00,,0,0,0,0.00
78,RV World,,0.00,33517.00,0.00,,112251.00,66538.00,129,4,68,99380.00
79,Roulottes MLR,,0.00,25326.00,0.00,,119256.00,151497.00,113,0,23,3302848.00
80,Country Camping Leisure Products,,4113.00,30873.00,,,213476.00,117283.00,61,20,28,101571.00
81,Traveland RV Supercentre Langley,2233,0.00,0.00,,178361.00,625061.00,,0,0,205,0.00
87,Centre de Camping d'Amos,,0.00,19750.00,0.00,,210775.00,295518.00,85,0,41,1297287.00
