period,dealer_id,value
1,7,5795
1,9,3690
1,65,2960.36
1,72,3750
1,95,2750
1,81,7744
1,29,4000
2,7,6295
2,9,3690
2,65,1287.82
2,72,4500
2,95,4500
2,81,9699
2,29,5000
3,7,3795
3,9,3690
3,65,2416.27
3,72,5500
3,95,5000
3,81,11699
3,29,5750
4,7,1992.6
4,9,3690
4,65,2788
4,72,5950
4,95,4500
4,81,12194
4,29,5950
5,7,2795
5,9,3690
5,65,3065.36
5,72,5950
5,95,4500
5,81,12994
5,29,6250
6,7,3495
6,9,1409.09
6,65,482.29
6,72,6950
6,95,4450
6,81,12744
6,29,6400
7,7,5045
7,9,1465
7,65,895
7,72,6950
7,95,4750
7,81,13494
7,29,6950
8,7,3545
8,9,1465
8,65,895
8,72,6950
8,95,4750
8,81,13494
8,29,6950
9,7,2545
9,9,1465
9,65,895
9,72,5000
9,95,4000
9,81,10994
9,29,5750
10,7,1545
10,9,1465
10,65,895
10,72,4500
10,95,4000
10,81,10494
10,29,5000
11,7,1545
11,9,1465
11,65,895
11,72,3750
11,95,2750
11,81,9244
11,29,4250
12,7,1545
12,9,1465
12,65,895
12,72,3250
12,95,2750
12,81,10244
12,29,4250
